source,target,database
CCDC103,RSPH4A,STRING
CCDC103,RSPH3,STRING
CCDC103,DNAH9,STRING
CCDC103,GAS8,STRING
CCDC103,RSPH1,STRING
CCDC103,STK36,STRING
CCDC103,DNAAF5,STRING
CCDC103,CCDC151,STRING
CCDC103,RSPH9,STRING
CCDC103,CCDC40,STRING
CCDC103,CFAP221,STRING
CCDC103,TTC25,STRING
CCDC103,DNAH11,STRING
CCDC103,LRRC6,STRING
CCDC151,RSPH4A,STRING
CCDC151,RSPH3,STRING
CCDC151,DNAH9,STRING
CCDC151,GAS8,STRING
CCDC151,RSPH1,STRING
CCDC151,STK36,STRING
CCDC151,DNAAF5,STRING
CCDC151,PACRG,STRING
CCDC151,SPEF2,STRING
CCDC151,RSPH9,STRING
CCDC151,DNAH11,STRING
CCDC151,LRRC6,STRING
CCDC151,CCDC103,STRING
CCDC151,CCDC40,STRING
CCDC151,TTC25,STRING
CCDC40,RSPH4A,STRING
CCDC40,RSPH3,STRING
CCDC40,DNAH9,STRING
CCDC40,GAS8,STRING
CCDC40,RSPH1,STRING
CCDC40,STK36,STRING
CCDC40,DNAAF5,STRING
CCDC40,PACRG,STRING
CCDC40,SPEF2,STRING
CCDC40,CCDC151,STRING
CCDC40,RSPH9,STRING
CCDC40,SPAG6,STRING
CCDC40,TTC25,STRING
CCDC40,DNAH11,STRING
CCDC40,CCDC103,STRING
CCDC40,LRRC6,STRING
CFAP221,RSPH4A,STRING
CFAP221,RSPH3,STRING
CFAP221,DNAH9,STRING
CFAP221,RSPH1,STRING
CFAP221,STK36,STRING
CFAP221,SPEF2,STRING
CFAP221,RSPH9,STRING
CFAP221,SPAG6,STRING
CFAP221,CCDC103,STRING
CFAP221,LRRC6,STRING
CFP,STK36,STRING
DHH,GLI1,STRING
DHH,SMO,STRING
DHH,DISP1,STRING
DHH,STK36,STRING
DHH,IHH,STRING
DHH,HHIP,STRING
DHH,SHH,STRING
DHH,KIF27,STRING
DHH,PTCH1,STRING
DHH,SUFU,STRING
DHH,PTCH2,STRING
DHH,KIF7,STRING
